mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__alpha,param_vectorization,param_vectorization__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.294413423538208,0.3081376167938528,0.07360758781433105,0.052947317913487134,1,CountVectorizer(),1000,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.7706580033003301,0.7872910807137237,0.7613603547854786,0.7632244867035382,0.7817570818702075,0.7728582014746556,0.010171999667806042,1,0.8113400152588949,0.8055503963916772,0.8083349036379178,0.8133991098596134,0.8076568283049629,0.8092562506906132,0.0027801347202740714
0.16017074584960939,0.04841530591887497,0.04946842193603516,0.02967033147218738,1,CountVectorizer(),2000,"{'classifier__alpha': 1, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.7603969952578791,0.7807115017829007,0.7466095144403064,0.7551619224422442,0.7761257902585537,0.7638011448363768,0.012803387133445535,2,0.8252871197389968,0.81931318681537,0.8246197059994129,0.8213932068697388,0.819773687467023,0.8220773813781083,0.002456896692984759
0.13364229202270508,0.06504303777388074,0.025730705261230467,0.004059063445363548,1,TfidfVectorizer(),1000,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.7462252521606473,0.7699333256772044,0.7309542411892644,0.7296238588483146,0.754762113123888,0.7462997581998636,0.015124371228065257,3,0.7966134783403698,0.7878500606524534,0.7937254456667193,0.7933297795273437,0.7890735838717742,0.792118469611732,0.003216998334986814
0.08178124427795411,0.01237683950437447,0.02254023551940918,0.004829657458758454,1,TfidfVectorizer(),2000,"{'classifier__alpha': 1, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.6860873694207027,0.7304220503260551,0.6890029507524942,0.7103886079510615,0.7171082552498056,0.7066018467400237,0.01686826131401005,4,0.789893553346656,0.7810701352173786,0.7869880666657085,0.7854715621832185,0.7842420817177346,0.7855330798261393,0.0029229796832550415
0.06342930793762207,0.008663024841420484,0.02153949737548828,0.003193894929517375,10,CountVectorizer(),1000,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.6711473610861287,0.6555873925501432,0.6515963982583601,0.6254428480342101,0.6619306389820562,0.6531409277821797,0.015343044328571283,5,0.7073548201686524,0.6982322314472527,0.6886926862965201,0.675980820472172,0.6850292520966931,0.691057962096258,0.010828830012266448
0.08118243217468261,0.009285172606614336,0.025331640243530275,0.004353060417286497,10,CountVectorizer(),2000,"{'classifier__alpha': 10, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.5532073067119796,0.5914462615824758,0.5744246589607415,0.5899344681327746,0.5903089345299835,0.5798643259835911,0.014729735208586696,6,0.6313400359523657,0.6153550252202505,0.6264460853202141,0.6363011352221296,0.6211019746349464,0.6261088512699813,0.007376655888590643
0.07739582061767578,0.004867801616504567,0.021937084197998048,0.00427775429318081,10,TfidfVectorizer(),1000,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.4596675839639753,0.44633809304467986,0.4640396122115585,0.44633809304467986,0.4599279325275653,0.4552622629584917,0.007449816144048323,9,0.4531015827241856,0.45198857312823665,0.4486359623146138,0.4542123407856981,0.4519314091608162,0.4519739736227101,0.0018668762258934166
0.07300734519958496,0.008683323318627909,0.02592778205871582,0.005046735440335542,10,TfidfVectorizer(),2000,"{'classifier__alpha': 10, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.44633809304467986,0.44633809304467986,0.44633809304467986,0.44633809304467986,0.4465437788018433,0.44637923019611253,8.227430286538162e-05,10,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.4474613080789247,0.4466038589899643,0.0004287245444801746
0.09933547973632813,0.0072635875407881315,0.029320907592773438,0.0034312381159395753,20,CountVectorizer(),1000,"{'classifier__alpha': 20, 'vectorization': CountVectorizer(), 'vectorization__max_features': 1000}",0.5465553892831155,0.5667638839312921,0.5667638839312921,0.5639271687180916,0.570886150203446,0.5629792952134475,0.00850655899348893,7,0.5990125947429076,0.5814034088583642,0.5866607601440049,0.5926525849314783,0.5837445134602389,0.5886947724273988,0.006386360303939146
0.07838373184204102,0.0226597395127731,0.022141456604003906,0.005898002098212727,20,CountVectorizer(),2000,"{'classifier__alpha': 20, 'vectorization': CountVectorizer(), 'vectorization__max_features': 2000}",0.5054312047399605,0.5059152106220403,0.5245705914667643,0.5322174697392923,0.5222788104089219,0.5180826573953958,0.010654575767243652,8,0.5543903599005108,0.542042664071595,0.5429822035558812,0.5471833638625961,0.5431627695205191,0.5459522721822204,0.004573938770699151
0.058434486389160156,0.008039401285679926,0.016824007034301758,0.0012433365366327515,20,TfidfVectorizer(),1000,"{'classifier__alpha': 20, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 1000}",0.44633809304467986,0.44633809304467986,0.44633809304467986,0.44633809304467986,0.4465437788018433,0.44637923019611253,8.227430286538162e-05,10,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.44633809304467986,0.4463792159831154,2.0561469217761364e-05
0.05403933525085449,0.002471847171499959,0.015355587005615234,0.000798060557960214,20,TfidfVectorizer(),2000,"{'classifier__alpha': 20, 'vectorization': TfidfVectorizer(), 'vectorization__max_features': 2000}",0.44633809304467986,0.44633809304467986,0.44633809304467986,0.44633809304467986,0.4465437788018433,0.44637923019611253,8.227430286538162e-05,10,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.44638949671772427,0.44633809304467986,0.4463792159831154,2.0561469217761364e-05
